id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6983,Copenhagen 'N Livin',16774,Simon,,Nrrebro,55.68798286290124,12.545712938975294,Private room,356,2,145,2018-10-13,1.31,1,29
26057,Lovely house - most attractive area,109777,Kari,,Indre By,55.69162651586008,12.574590694511738,Entire home/apt,2101,3,43,2018-10-04,0.72,1,342
26473,City Centre Townhouse Sleeps 1-12 persons,112210,Oliver,,Indre By,55.67589546993193,12.576976872044,Entire home/apt,3097,3,230,2018-10-10,2.36,2,115
29118,Best Location in Cool Istedgade,125230,Nana,,Vesterbro-Kongens Enghave,55.67068701104055,12.554304288918235,Entire home/apt,802,7,20,2018-07-02,0.20,1,290
29618,Artsy and familyfriendly home in lovely Copenhagen,127577,Simon And Anna,,sterbro,55.69374683258681,12.569447576235694,Entire home/apt,860,7,87,2014-08-19,0.87,1,0
31094,"Very central and cozy, new kitchen",129976,Ebbe,,Vesterbro-Kongens Enghave,55.667435510456336,12.55515850848884,Entire home/apt,750,2,17,2017-08-25,0.17,1,0
32379,1668 ft2 artist flat on Vesterbro,140105,Lise,,Vesterbro-Kongens Enghave,55.67368110190391,12.552475961563836,Entire home/apt,1080,3,70,2018-09-06,0.70,2,70
32841,Cozy flat for Adults/Quiet for kids,142143,Anders & Maria,,sterbro,55.71158035643203,12.5687910468878,Entire home/apt,588,6,7,2016-09-15,0.07,1,0
33680,Best location on Vesterbro/Cph,145671,Mette,,Vesterbro-Kongens Enghave,55.66756344722237,12.545104884151993,Entire home/apt,1202,12,69,2018-09-30,0.69,1,302
33850,Modern Vesterbro Apartmnt w/Balcony,146201,Caroline,,Vesterbro-Kongens Enghave,55.669798878409516,12.556192652927635,Entire home/apt,892,7,40,2018-09-25,0.39,1,15
38524,Copenhagen studio in Frederiksberg,165326,Annemette,,Frederiksberg,55.67628065579197,12.538014355556275,Entire home/apt,743,30,14,2017-04-19,0.15,2,315
